date,Blockchain,Cardano,Ethereum,isPartial
2018-02-25,11,2,8,False
2018-03-04,11,2,8,False
2018-03-11,13,2,6,False
2018-03-18,10,2,8,False
2018-03-25,8,2,8,False
2018-04-01,7,1,5,False
2018-04-08,8,1,4,False
2018-04-15,7,2,5,False
2018-04-22,8,2,6,False
2018-04-29,8,3,9,False
2018-05-06,9,1,8,False
2018-05-13,10,2,7,False
2018-05-20,7,1,6,False
2018-05-27,9,2,6,False
2018-06-03,9,1,5,False
2018-06-10,7,1,4,False
2018-06-17,7,1,4,False
2018-06-24,7,1,5,False
2018-07-01,6,1,4,False
2018-07-08,5,1,4,False
2018-07-15,6,2,4,False
2018-07-22,4,1,5,False
2018-07-29,6,1,3,False
2018-08-05,4,1,3,False
2018-08-12,5,1,6,False
2018-08-19,5,2,3,False
2018-08-26,5,1,4,False
2018-09-02,6,1,5,False
2018-09-09,6,1,7,False
2018-09-16,6,2,4,False
2018-09-23,7,1,4,False
2018-09-30,6,1,4,False
2018-10-07,7,1,3,False
2018-10-14,6,1,2,False
2018-10-21,5,0,1,False
2018-10-28,5,1,3,False
2018-11-04,6,0,4,False
2018-11-11,5,1,3,False
2018-11-18,3,1,4,False
2018-11-25,5,1,3,False
2018-12-02,5,1,3,False
2018-12-09,5,1,4,False
2018-12-16,4,2,3,False
2018-12-23,2,1,5,False
2018-12-30,3,1,5,False
2019-01-06,5,2,5,False
2019-01-13,4,1,4,False
2019-01-20,4,1,3,False
2019-01-27,3,1,3,False
2019-02-03,4,2,2,False
2019-02-10,5,1,2,False
2019-02-17,4,1,4,False
2019-02-24,3,0,4,False
2019-03-03,4,1,2,False
2019-03-10,4,1,2,False
2019-03-17,4,2,2,False
2019-03-24,4,2,2,False
2019-03-31,5,2,4,False
2019-04-07,4,2,3,False
2019-04-14,3,1,2,False
2019-04-21,4,1,2,False
2019-04-28,3,1,1,False
2019-05-05,4,1,3,False
2019-05-12,6,1,7,False
2019-05-19,4,1,3,False
2019-05-26,3,1,5,False
2019-06-02,5,1,3,False
2019-06-09,3,1,4,False
2019-06-16,6,2,4,False
2019-06-23,4,2,7,False
2019-06-30,5,1,3,False
2019-07-07,4,2,4,False
2019-07-14,2,1,5,False
2019-07-21,2,1,3,False
2019-07-28,3,1,3,False
2019-08-04,3,1,2,False
2019-08-11,3,1,2,False
2019-08-18,3,1,2,False
2019-08-25,2,0,2,False
2019-09-01,3,1,2,False
2019-09-08,3,1,2,False
2019-09-15,3,1,3,False
2019-09-22,2,0,2,False
2019-09-29,3,1,1,False
2019-10-06,3,1,3,False
2019-10-13,4,0,2,False
2019-10-20,3,1,2,False
2019-10-27,3,1,3,False
2019-11-03,3,1,3,False
2019-11-10,3,1,2,False
2019-11-17,3,0,2,False
2019-11-24,3,0,2,False
2019-12-01,3,0,1,False
2019-12-08,3,1,1,False
2019-12-15,2,1,3,False
2019-12-22,2,1,2,False
2019-12-29,3,1,3,False
2020-01-05,3,1,3,False
2020-01-12,3,1,5,False
2020-01-19,3,1,3,False
2020-01-26,3,2,4,False
2020-02-02,4,2,6,False
2020-02-09,3,1,8,False
2020-02-16,3,1,6,False
2020-02-23,2,1,3,False
2020-03-01,3,1,3,False
2020-03-08,2,1,5,False
2020-03-15,2,1,4,False
2020-03-22,2,1,3,False
2020-03-29,2,1,3,False
2020-04-05,2,1,3,False
2020-04-12,2,1,3,False
